event_title,organisation,date,location,match_nr,fighter1_name,fighter2_name,fighter1_result,fighter2_result,win_method,win_details,round,time
UFC 227 - Dillashaw vs. Garbrandt 2,Ultimate Fighting Championship (UFC),"Aug 4, 2018","Staples Center, Los Angeles, California, United States",2,Weili Zhang,Danielle Taylor,win,loss,Decision,Unanimous,3,05:00
UFC on Fox 30 - Alvarez vs. Poirier 2,Ultimate Fighting Championship (UFC),"Jul 28, 2018","Scotiabank Saddledome, Calgary, Alberta, Canada",7,Islam Makhachev,Kajan Johnson,win,loss,Submission,Armbar,1,04:43
UFC Fight Night 133 - Dos Santos vs. Ivanov,Ultimate Fighting Championship (UFC),"Jul 14, 2018","Boise, Idaho, United States",6,Alexander Volkanovski,Darren Elkins,win,loss,Decision,Unanimous,3,05:00
UFC 226 - Miocic vs. Cormier,Ultimate Fighting Championship (UFC),"Jul 7, 2018","T-Mobile Arena, Las Vegas, Nevada, United States",11,Daniel Cormier,Stipe Miocic,win,loss,KO,Punches,1,4:33
UFC 226 - Miocic vs. Cormier,Ultimate Fighting Championship (UFC),"Jul 7, 2018","T-Mobile Arena, Las Vegas, Nevada, United States",6,Paulo Costa,Uriah Hall,win,loss,TKO,Punches,2,02:38
UFC - The Ultimate Fighter 27 Finale,Ultimate Fighting Championship (UFC),"Jul 6, 2018","Pearl Concert Theater at Palms Casino Resort, Las Vegas, Nevada, United States",12,Israel Adesanya,Brad Tavares,win,loss,Decision,Unanimous,5,5:00
UFC - The Ultimate Fighter 27 Finale,Ultimate Fighting Championship (UFC),"Jul 6, 2018","Pearl Concert Theater at Palms Casino Resort, Las Vegas, Nevada, United States",3,Bryce Mitchell,Tyler Diamond,win,loss,Decision,Majority,3,05:00
UFC Fight Night 132 - Cerrone vs. Edwards,Ultimate Fighting Championship (UFC),"Jun 23, 2018","Singapore Indoor Stadium, Kallang, Singapore",13,Leon Edwards,Donald Cerrone,win,loss,Decision,Unanimous,5,5:00
UFC Fight Night 131 - Rivera vs. Moraes,Ultimate Fighting Championship (UFC),"Jun 1, 2018","Adirondack Bank Center, Utica, New York, United States",11,Gregor Gillespie,Vinc Pichel,win,loss,Submission,Arm-Triangle Choke,2,04:06
UFC Fight Night 131 - Rivera vs. Moraes,Ultimate Fighting Championship (UFC),"Jun 1, 2018","Adirondack Bank Center, Utica, New York, United States",4,Belal Muhammad,Chance Rencountre,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 130 - Thompson vs. Till,Ultimate Fighting Championship (UFC),"May 27, 2018","Echo Arena, Liverpool, Merseyside, England",9,Arnold Allen,Mads Burnell,win,loss,Submission,Guillotine Choke,3,02:41
UFC Fight Night 129 - Maia vs. Usman,Ultimate Fighting Championship (UFC),"May 19, 2018","Movistar Arena, Santiago, Chile, Chile",12,Tatiana Suarez,Alexa Grasso,win,loss,Submission,Rear-Naked Choke,1,02:44
UFC Fight Night 128 - Barboza vs. Lee,Ultimate Fighting Championship (UFC),"Apr 21, 2018","Jim Whelan Boardwalk Hall, Atlantic City, New Jersey, United States",7,Aljamain Sterling,Brett Johns,win,loss,Decision,Unanimous,3,05:00
UFC on Fox 29 - Poirier vs. Gaethje,Ultimate Fighting Championship (UFC),"Apr 14, 2018","Gila River Arena, Glendale, Arizona, United States",12,Israel Adesanya,Marvin Vettori,win,loss,Decision,Split,3,05:00
UFC 223 - Khabib vs. Iaquinta,Ultimate Fighting Championship (UFC),"Apr 7, 2018","Barclays Center, Brooklyn, New York, United States",9,Khabib Nurmagomedov,Al Iaquinta,win,loss,Decision,Unanimous,5,5:00
UFC 223 - Khabib vs. Iaquinta,Ultimate Fighting Championship (UFC),"Apr 7, 2018","Barclays Center, Brooklyn, New York, United States",6,Zabit Magomedsharipov,Kyle Bochniak,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 127 - Werdum vs. Volkov,Ultimate Fighting Championship (UFC),"Mar 17, 2018","O2 Arena, London, Greater London, England",8,Tom Duquesnoy,Terrion Ware,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 127 - Werdum vs. Volkov,Ultimate Fighting Championship (UFC),"Mar 17, 2018","O2 Arena, London, Greater London, England",7,Leon Edwards,Peter Sobotta,win,loss,TKO,Punches,3,04:59
UFC Fight Night 127 - Werdum vs. Volkov,Ultimate Fighting Championship (UFC),"Mar 17, 2018","O2 Arena, London, Greater London, England",3,Paul Craig,Magomed Ankalaev,win,loss,Submission,Triangle Choke,3,04:59
UFC 222 - Cyborg vs. Kunitskaya,Ultimate Fighting Championship (UFC),"Mar 3, 2018","T-Mobile Arena, Las Vegas, Nevada, United States",12,Cristiane Justino,Yana Kunitskaya,win,loss,TKO,Punches,1,3:25
UFC 222 - Cyborg vs. Kunitskaya,Ultimate Fighting Championship (UFC),"Mar 3, 2018","T-Mobile Arena, Las Vegas, Nevada, United States",10,Sean O'Malley,Andre Soukhamthath,win,loss,Decision,Unanimous,3,05:00
UFC 221 - Romero vs. Rockhold,Ultimate Fighting Championship (UFC),"Feb 10, 2018","Perth Arena, Perth, Western Australia, Australia",6,Israel Adesanya,Rob Wilkinson,win,loss,TKO,Knees and Punches,2,03:37
UFC 221 - Romero vs. Rockhold,Ultimate Fighting Championship (UFC),"Feb 10, 2018","Perth Arena, Perth, Western Australia, Australia",5,Alexander Volkanovski,Jeremy Kennedy,win,loss,TKO,Punches,2,04:57
UFC on Fox 27 - Jacare vs. Brunson 2,Ultimate Fighting Championship (UFC),"Jan 27, 2018","Spectrum Center, Charlotte, North Carolina, United States",10,Gregor Gillespie,Jordan Rinaldi,win,loss,TKO,Punches,1,04:46
UFC 220 - Miocic vs. Ngannou,Ultimate Fighting Championship (UFC),"Jan 20, 2018","TD Garden, Boston, Massachusetts, United States",10,Daniel Cormier,Volkan Oezdemir,win,loss,TKO,Punches,2,02:00
UFC 220 - Miocic vs. Ngannou,Ultimate Fighting Championship (UFC),"Jan 20, 2018","TD Garden, Boston, Massachusetts, United States",1,Islam Makhachev,Gleison Tibau,win,loss,KO,Punch,1,00:57
UFC 219 - Cyborg vs. Holm,Ultimate Fighting Championship (UFC),"Dec 30, 2017","T-Mobile Arena, Las Vegas, Nevada, United States",10,Cristiane Justino,Holly Holm,win,loss,Decision,Unanimous,5,5:00
UFC 219 - Cyborg vs. Holm,Ultimate Fighting Championship (UFC),"Dec 30, 2017","T-Mobile Arena, Las Vegas, Nevada, United States",9,Khabib Nurmagomedov,Edson Barboza,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 123 - Swanson vs. Ortega,Ultimate Fighting Championship (UFC),"Dec 9, 2017","Save Mart Center, Fresno, California, United States",11,Marlon Moraes,Aljamain Sterling,win,loss,KO,Knee,1,01:07
UFC 218 - Holloway vs. Aldo 2,Ultimate Fighting Championship (UFC),"Dec 2, 2017","Little Caesars Arena, Detroit, Michigan, United States",11,Henry Cejudo,Sergio Pettis,win,loss,Decision,Unanimous,3,05:00
UFC - The Ultimate Fighter 26 Finale,Ultimate Fighting Championship (UFC),"Dec 1, 2017","Park Theater, Las Vegas, Nevada, United States",10,Sean O'Malley,Terrion Ware,win,loss,Decision,Unanimous,3,05:00
